date,open,high,low,close,volume,vwap,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14
2025-01-07,87.71,88.61,87.18,87.94,12517888.0,88.0539,0.9707674063484845,1.014403760139489,1.029076643165795,1.0360245622015012,50.03885266983655,46.73343360539289,47.51781777958291,0.007792803117121272,0.011406449869343206
2025-01-08,87.4,88.07,87.09,88.03,14241933.0,87.723,0.970927119001639,1.0098678480820933,1.0276292173122799,1.0347171418834489,50.517314303127684,46.95163420681738,47.64214797786557,0.01639533541161531,0.011167928927406475
2025-01-10,89.17,90.2,87.92,88.39,17037896.0,88.6682,0.970479853894267,1.0031300675038655,1.0232605498359542,1.0302274012897388,52.47776639961245,47.8358467088907,48.143567562100685,0.051635930993456425,0.006801809777184026
2025-01-13,88.79,90.775,88.79,90.25,24448086.0,90.2386,0.95596359319351,0.9806204986149584,1.0027058171745153,1.0088681440443212,61.06151757644836,52.102895438014684,50.63594967208416,0.0831733077292367,0.0072865146739499245
2025-01-14,90.09,91.2999,89.955,91.22,15586503.0,90.71,0.9513421242208788,0.9687678140758607,0.9927406270554702,0.9980207191405394,64.64776780995649,54.12727536754225,51.86703268931617,0.08414547183265975,0.007329586168977705
2025-01-15,91.78,92.805,91.4,92.57,17328946.0,92.3218,0.9441349403540179,0.9535738720247742,0.9791228259695366,0.9833666414605163,68.93589042513486,56.75856212560929,53.513449651856064,0.10294292863100196,0.007278911511814804
2025-01-16,92.26,93.325,92.15,93.24,12615301.0,92.8996,0.9439388367959796,0.9462641212641214,0.9732046332046334,0.9762001287001286,70.82716550389435,57.99557156780876,54.30500410595099,0.1016068052930057,0.007267999758716902
2025-01-17,93.24,94.29,92.91,93.96,11949825.0,93.9264,0.943843884935839,0.9388179367106572,0.9666815666240955,0.9685876968922946,72.74736630451335,59.290222149795554,55.14257094522658,0.11103228095069184,0.006913893078439307
2025-01-21,93.72,94.0,92.99,93.48,24651028.0,93.4915,0.9555061434072987,0.9440842961061189,0.9723534445870774,0.9733675652546,69.46470815770832,58.05615787436831,54.463463096297865,0.1054872280037844,0.007448765508776055
2025-01-22,93.19,93.3,91.72,91.78,17940129.0,92.5392,0.97883136693335,0.9612769666594028,0.9899760296360863,0.991110263674003,59.26477370671389,53.942600818659436,52.1427201911866,0.08551153163808412,0.009959077628850033
2025-01-23,92.48,92.8199,91.545,92.2,14679566.0,92.1711,0.9794391075302138,0.9573246565437454,0.9852646420824296,0.9862765726681126,60.796370654558665,54.76181605745972,52.6513521598678,0.0763483539575065,0.009743137146065258
2025-01-24,92.33,92.705,91.195,91.31,14578398.0,91.6082,0.9926232457718603,0.9668163399408608,0.9943335888730698,0.9955530610009857,55.992109691078156,52.70673617006928,51.46854971204192,0.05365797369028402,0.010322155393313198
2025-01-27,91.0,91.16,89.73,90.36,15996700.0,90.3321,1.0053437045468918,0.9770215434558064,1.0039198760513501,1.0056252766710934,51.32944892314715,50.60953510228378,50.23926222292491,0.03303989939407792,0.01084092495197824
2025-01-28,90.63,90.95,89.05,89.5,18700874.0,89.6019,1.0169433359936153,0.9860744878957168,1.012610055865922,1.0148251396648045,47.47525285527712,48.7914436799398,49.15477115442014,0.027908579304008363,0.011160658909730281
2025-01-29,89.28,90.155,89.15,89.7,10340879.0,89.6449,1.0160774008600095,0.9838870308435526,1.0092798216276477,1.0121153846153845,48.44477145792804,49.230220271637606,49.41390215682736,0.020013645667500635,0.010924816457063157
2025-01-30,90.25,90.63,89.6,90.16,19546271.0,90.1565,1.012580808721004,0.979214729370009,1.0030856255545697,1.0066204525288376,50.6988137711878,50.2445809356018,50.01181556495348,0.024196296717028165,0.010966858380294072
2025-01-31,89.91,90.11,87.43,87.64,22270018.0,88.2414,1.0410852839538371,1.0075155940970635,1.0303103605659516,1.0351317891373801,40.303083269649264,45.13414122094702,46.91218852968936,-0.00848512275144242,0.013495887215659863
2025-02-03,87.63,88.545,86.83,88.19,19908227.0,87.8341,1.0329240438663276,1.0018293835279888,1.0221158861548927,1.0283240730241525,43.047902633172974,46.36581621005976,47.63498188338141,-0.022825484764542936,0.012195011889560623
2025-02-04,87.78,90.23,87.63,90.04,20139909.0,89.5836,1.0107650568001523,0.9834629053753885,0.9999289204797867,1.0069685695246557,51.17921024060259,50.25182177761263,49.972788521941766,-0.012935759701819705,0.013251097793122836
2025-02-05,90.01,90.355,89.505,90.23,10885999.0,90.102,1.0067842497743862,0.9839447338283646,0.9964690236063395,1.004648121467361,51.938167896491414,50.63184815449206,50.20575972206755,-0.02527816787296089,0.012511862671534098
2025-02-06,90.64,90.86,88.09,88.57,20654812.0,88.9644,1.0218874497975776,1.0040532911821158,1.013214406683979,1.0231161792932146,45.3106327022804,47.361882017858406,48.204462480183075,-0.0500858000858001,0.012962416054648453
2025-02-07,88.9,89.365,88.44,88.56,11284207.0,88.8748,1.0176474383791456,1.0059093646492019,1.0113617886178863,1.022834801264679,45.27315415362668,47.342827900334925,48.192653708357945,-0.05747126436781602,0.012600777732273886
2025-02-10,89.35,90.66,89.35,90.51,12935678.0,90.2392,0.9933787900310936,0.9863992928958126,0.9885029278532758,1.000488343829411,53.37240656404191,51.29546680852741,50.60060476007729,-0.031771501925545564,0.014398675662348844
2025-02-11,90.94,91.85,90.36,91.24,13113409.0,91.1878,0.985008141792447,0.9809440303960252,0.9797216133274881,0.9922122972380535,55.99778541287105,52.6712997170928,51.46238574304984,-0.005883634778819036,0.013856880006710115
2025-02-12,90.49,91.11,88.875,89.04,19399387.0,89.7102,1.0068107431651905,1.0068583408206049,1.0025628930817612,1.0163016621743037,47.34581405196035,48.40808426484935,48.842130385327145,-0.034273318872017344,0.01513729589099756
2025-02-13,88.9,89.91,88.32,89.71,15775459.0,89.3652,0.9980174212143893,1.0012558986363467,0.9937777282354254,1.0083753204770927,49.88530193300667,49.690960185226714,49.63897620462074,-0.01752272478370398,0.015198590969992968
2025-02-14,90.05,91.325,90.05,90.07,12943246.0,90.5269,0.9937984742026044,0.9988860515895046,0.98881758632175,1.0039941156877983,51.24592108328896,50.37682496546042,50.065422990472044,-0.0032093846834883033,0.015010908556245863
2025-02-18,90.5,91.9,89.98,91.3,14787375.0,91.2095,0.9818181818181818,0.9871230376049654,0.9747929901423878,0.9903466593647317,55.67401803031579,52.65803173107649,51.497322511036785,0.020111731843575287,0.015172268529508686
2025-02-19,91.68,92.88,91.625,92.02,12265622.0,92.2488,0.9759369081255629,0.9810475983481852,0.967120191262769,0.9825972614648991,58.07448972895742,53.94022231139063,52.31409759916991,0.025863991081382265,0.015267319051473863
2025-02-20,91.83,93.015,91.44,92.86,14166145.0,92.4441,0.9691855635211224,0.9742515614904158,0.9584298944647858,0.973724962308852,60.74540550310067,55.398127918443414,53.251286522772105,0.029946761313220938,0.015368783824361304
2025-02-21,92.3,92.55,90.875,90.93,15638302.0,91.5961,0.9923410472734127,0.996026247296455,0.9787528868360276,0.9943022104915867,52.47384533575421,51.521971273162094,50.905679115595156,0.03753993610223638,0.014373740984892667
2025-02-24,91.09,91.4381,90.465,90.95,13147632.0,91.0106,0.9942904264509542,0.9968774051676745,0.9785552501374379,0.99395437053326,52.54595684556116,51.55830596629201,50.92853514853576,0.03129606531352769,0.014349998965770959
