date,open,high,low,close,volume,vwap
2024-09-11,186.9,189.31,183.01,189.05,3755700.0,186.1945
2024-09-12,189.04,191.27,188.82,191.18,2374296.0,190.3571
2024-09-13,191.35,192.96,191.11,192.48,1963101.0,192.4479
2024-09-16,192.38,192.79,191.11,192.15,1538628.0,192.0945
2024-09-17,193.29,195.04,192.53,193.13,2153963.0,193.5643
2024-09-18,193.41,196.045,192.52,192.75,3317400.0,193.8083
2024-09-19,196.47,197.58,195.83,197.14,2932858.0,196.8866
2024-09-20,196.79,196.99,195.23,196.69,2776174.0,196.3841
2024-09-23,197.11,198.75,196.7,198.67,3635610.0,197.9971
2024-09-24,199.65,200.46,198.47,200.41,2029802.0,199.6039
2024-09-25,199.72,200.1212,199.09,199.69,1694880.0,199.576
2024-09-26,201.46,201.9,199.35,200.54,2133430.0,200.4888
2024-09-27,201.3,201.65,200.255,200.84,1720946.0,201.0539
2024-09-30,200.29,200.93,198.45,200.37,2286341.0,199.9534
2024-10-01,200.25,200.43,196.96,199.56,4114744.0,199.0333
2024-10-02,197.2,198.42,196.39,197.87,3741187.0,197.6591
2024-10-03,196.15,196.91,194.785,195.58,3550693.0,195.5418
2024-10-04,197.74,198.63,196.12,198.17,3914163.0,197.5938
2024-10-07,196.71,196.71,194.39,195.09,2601002.0,195.5671
2024-10-08,195.96,197.31,195.64,196.99,2366568.0,196.7411
2024-10-09,197.64,198.8,196.79,198.4,2768802.0,198.2616
2024-10-10,198.04,198.48,196.84,197.42,1629509.0,197.6413
2024-10-11,195.43,197.37,195.4,196.58,2495809.0,196.6686
2024-10-14,196.98,197.765,196.1699,197.44,1783317.0,197.2459
2024-10-15,197.5,199.16,197.5,197.87,3417485.0,198.1129
2024-10-16,198.06,198.955,197.8,198.91,2303530.0,198.4955
2024-10-17,199.26,199.58,198.07,198.73,1744421.0,198.7266
2024-10-18,199.15,200.04,198.37,199.51,1898461.0,199.4163
2024-10-21,199.07,199.07,197.21,197.96,1652483.0,197.9136
2024-10-22,196.44,197.87,195.92,197.16,1578828.0,196.9941
2024-10-23,195.58,196.025,193.03,194.06,2169500.0,194.5318
2024-10-24,198.3,200.445,197.7,200.18,3495923.0,199.456
2024-10-25,200.54,202.575,200.07,200.81,2719966.0,201.3556
2024-10-28,202.39,203.08,201.19,201.28,2051284.0,202.1024
2024-10-29,199.61,200.65,198.98,200.23,2123542.0,200.0842
2024-10-30,200.71,201.61,199.79,199.95,2439905.0,200.6074
2024-10-31,199.5,199.95,196.77,196.89,3098973.0,197.6709
2024-11-01,200.51,202.15,199.9,200.09,3803941.0,200.7844
2024-11-04,199.25,201.05,198.91,199.4,2384665.0,199.7279
2024-11-05,199.85,202.99,199.68,202.93,2212139.0,202.1607
2024-11-06,207.55,209.59,205.9,209.42,4699351.0,208.2764
2024-11-07,209.83,212.96,209.76,212.11,4010570.0,212.0667
2024-11-08,212.08,216.27,211.85,215.12,3893103.0,214.9147
2024-11-11,218.5,220.39,217.51,219.46,4604977.0,218.8585
2024-11-12,218.9,218.93,215.75,216.53,5267591.0,217.0631
2024-11-13,217.99,219.54,217.24,218.38,2941664.0,218.355
2024-11-14,218.02,218.9,215.1,215.28,2310476.0,216.3724
2024-11-15,214.07,215.1,212.46,213.44,3912377.0,213.489
2024-11-18,216.01,217.06,214.03,215.41,2376552.0,215.7789
2024-11-19,213.42,216.23,212.43,215.57,1967937.0,214.9372
2024-11-20,214.93,215.065,212.38,214.62,2989550.0,213.8169
2024-11-21,215.27,215.54,213.34,215.0,2734286.0,214.7349
2024-11-22,215.62,218.73,215.62,218.1,2275349.0,217.7008
2024-11-25,220.7,222.265,220.22,220.33,3680192.0,221.2066
2024-11-26,220.22,221.51,219.8716,221.13,1989811.0,220.9028
2024-11-27,221.54,221.85,219.51,220.04,1914533.0,220.3995
2024-11-29,220.53,222.35,220.4,222.3,885704.0,221.4839
2024-12-02,223.87,224.77,223.45,224.24,4067668.0,224.2335
2024-12-03,223.8,224.21,222.86,224.07,3525712.0,223.7124
2024-12-04,224.55,226.37,224.31,226.15,2769742.0,225.5489
2024-12-05,226.37,229.03,226.27,228.0,3660915.0,228.1818
2024-12-06,229.86,232.85,229.84,232.8,2444609.0,231.3712
2024-12-09,234.14,235.572,231.23,232.06,3256865.0,232.7749
2024-12-10,232.1,234.6,231.6701,232.44,3815443.0,233.47
2024-12-11,234.37,236.6,234.24,236.52,2867412.0,235.7696
2024-12-12,236.4,236.66,234.26,234.56,2436188.0,235.2715
2024-12-13,234.49,235.589,233.9,235.49,2691256.0,234.9437
2024-12-16,236.71,238.85,236.25,238.68,3007198.0,237.998
2024-12-17,239.76,239.93,237.45,239.43,5110481.0,238.9724
2024-12-18,237.53,240.28,227.71,228.64,7202518.0,233.5531
2024-12-19,231.76,232.418,226.965,228.33,6602627.0,229.1513
