timestamp,open,high,low,close,volume,vwap,date,year,month,day,weekday,is_month_start,is_month_end,high_low_range,average_price,volume_change,close_lag_1,close_lag_2,return,return_lag_1,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,ma14,ma30,ma50,ma200,rsi14,rsi30,rsi50,roc14,vol14,up_day,down_day
2024-11-26 16:00:00,118.71,118.76,118.08,118.25,1198732.0,118.3345,2024-11-26 16:00:00,2024,11,26,1,0,0,0.6800000000000068,118.45,-0.29152410745472634,118.72,118.307857,-0.003958894878706154,0.0034836485965594743,119.51112242857143,1.0316846234378356,120.74576856666665,1.143248645566418,1.0131848728480821,1.0211058652572234,1.024702521268499,1.0194309918393236,29.664739901307172,37.9456683322364,42.41174565122521,-0.013187816437078004,0.005042955134933923,0,1
2024-11-26 17:00:00,118.27,118.49,117.955,118.32,948886.0,118.1815,2024-11-26 17:00:00,2024,11,26,1,0,0,0.5349999999999966,118.25874999999999,-0.20842523599937268,118.25,118.72,0.0005919661733615467,-0.003958894878706154,119.242551,1.0665790343544357,120.61976856666666,1.1959361773146158,1.011287704650826,1.0194368540117196,1.0236077851588912,1.0186977246872888,30.64165803407701,38.39170362759286,42.67572351757657,-0.01784432102014044,0.004739358483236386,1,0
2024-11-26 18:00:00,118.32,118.638,117.97,118.57,1257477.0,118.3062,2024-11-26 18:00:00,2024,11,26,1,0,0,0.6680000000000064,118.3745,0.32521398777092303,118.32,118.25,0.002112914131169763,0.0005919661733615467,118.95969385714284,0.9136364919278759,120.51343523333334,1.2323212885484416,1.0081855546452367,1.0163906151078126,1.0210329184448006,1.0164418890528804,34.15895040782577,39.98544890621901,43.61759807643474,-0.013396571808953373,0.004809776825750334,1,0
2024-11-26 19:00:00,118.5602,118.59,118.0,118.195,1360666.0,118.2204,2024-11-26 19:00:00,2024,11,26,1,0,0,0.5900000000000034,118.3363,0.08206034782345917,118.57,118.32,-0.003162688707092909,0.002112914131169763,118.65897957142856,0.7261453485633284,120.37909523333333,1.2586725798515372,1.0103055223510786,1.0184787447297545,1.02381973129151,1.0195396572190025,31.572552147853386,38.442314498848724,42.54757178857643,-0.01487747957993013,0.004843399486722275,0,1
2024-11-26 20:00:00,118.1923,118.36,117.86,117.98,3535562.0,118.1626,2024-11-26 20:00:00,2024,11,26,1,0,0,0.5,118.09807500000001,1.5984054867248831,118.195,118.57,-0.0018190278776597513,-0.003162688707092909,118.33469385714285,0.24401539784163223,120.25242856666665,1.303248377560743,1.0108752433826556,1.01926113380799,1.0249668175962028,1.0212526681217153,30.16245372815044,37.58208738758054,41.94556708048875,-0.01748834110592934,0.004815470350539603,0,1
2024-11-26 21:00:00,117.97,118.11,117.97,118.05,410354.0,117.9712,2024-11-26 21:00:00,2024,11,26,1,0,0,0.14000000000000057,118.02499999999999,-0.8839352838388919,117.98,118.195,0.0005933209018476049,-0.0018190278776597513,118.29785714285713,0.2671119793461796,120.1287619,1.3309880994591299,1.009053583227446,1.0176091647606946,1.0237796284625158,1.0205035178737825,31.239228180713923,38.0489990940844,42.21718430876656,-0.01682351961355877,0.004831433694344018,1,0
2024-11-26 22:00:00,118.11,118.11,117.97,118.04,41197.0,117.9731,2024-11-26 22:00:00,2024,11,26,1,0,0,0.14000000000000057,118.0575,-0.8996061936766792,118.05,117.98,-8.470986869957287e-05,0.0005933209018476049,118.2007142857143,0.2042553257124535,119.9987619,1.3384202361320534,1.007971182286876,1.0165940520162657,1.0232555501524905,1.020443623220942,31.165302766846253,38.006983148972616,42.18841092238143,-0.01608735517212634,0.0048399398059990025,0,1
2024-11-26 23:00:00,118.04,118.11,117.97,118.0011,8344.0,118.0133,2024-11-26 23:00:00,2024,11,26,1,0,0,0.14000000000000057,118.030275,-0.7974609801684589,118.04,118.05,-0.00032954930532036464,-8.470986869957287e-05,118.16515714285713,0.21559531421289999,119.87246523333333,1.3423253989282058,1.007093491380286,1.015858879564117,1.0229354399238653,1.0206529497182653,30.85937780161892,37.838839076517374,42.07458398017116,-0.016657500000000103,0.004829539693769152,0,1
2024-11-27 00:00:00,118.1099,118.11,118.05,118.05,3914.0,118.0679,2024-11-27 00:00:00,2024,11,27,2,0,0,0.060000000000002274,118.079975,-0.5309204218600192,118.0011,118.04,0.00041440291658290107,-0.00032954930532036464,118.12658571428571,0.20726738306371967,119.75579856666667,1.3435954096689229,1.0053754202214558,1.0144497972610476,1.021808616179585,1.0201056398559933,31.766127726658624,38.194411786879606,42.274364806184714,-0.017886855241264654,0.004783979233447636,0,1
2024-11-27 09:00:00,118.29,118.29,118.29,118.29,200.0,118.2717,2024-11-27 09:00:00,2024,11,27,2,0,0,0.0,118.29,-0.9489013796627491,118.05,118.0011,0.0020330368487928574,0.00041440291658290107,118.08658571428573,0.11302404500303645,119.63613190000001,1.307260105202205,1.0019709171165294,1.0113799298334603,1.019120019781892,1.01792645857638,36.18930919239837,39.93874459957948,43.254514183295335,-0.018747407714641118,0.004730244923241286,0,0
2024-11-27 10:00:00,118.4,118.4,118.24,118.24,200.0,118.32,2024-11-27 10:00:00,2024,11,27,2,0,0,0.1600000000000108,118.32000000000001,0.0,118.29,118.05,-0.00042268999915473504,0.0020330368487928574,118.09301428571429,0.12120204102585289,119.50979856666666,1.2498098747217037,1.0011501770007734,1.0107391624379793,1.0189318939445198,1.018246116246617,35.67052387930623,39.69728502488037,43.098945249002874,-0.01712385702410646,0.004731136125376253,0,1
2024-11-27 11:00:00,118.29,118.29,118.29,118.29,123.0,118.2881,2024-11-27 11:00:00,2024,11,27,2,0,0,0.0,118.29,-0.385,118.24,118.29,0.00042286874154262577,-0.00042268999915473504,118.1373,0.12938455595685677,119.39013189999999,1.185242116120249,0.9995434688356702,1.0093002950376193,1.0179057159523206,1.0177501968467324,36.648545938414145,40.072087481468344,43.30700819267956,-0.016299376299376278,0.004747415378979513,0,0
2024-11-27 12:00:00,118.33,118.36,118.33,118.36,694.0,118.3398,2024-11-27 12:00:00,2024,11,27,2,0,0,0.030000000000001137,118.345,4.642276422764228,118.29,118.24,0.0005917659988163848,0.00042286874154262577,118.18158571428572,0.1464511343370767,119.26779856666667,1.0888537496169295,0.9989837903731956,1.0076698087754872,1.0166904624873268,1.0170542901740454,38.068144167406984,40.606718529565406,43.601615183580876,0.0004407399586319194,0.001988425387982649,1,0
2024-11-27 13:00:00,118.3006,118.37,118.23,118.23,7044.0,118.292,2024-11-27 13:00:00,2024,11,27,2,0,0,0.14000000000000057,118.28265,9.14985590778098,118.36,118.29,-0.0010983440351469698,0.0005917659988163848,118.20872857142857,0.13280806589811703,119.15896523333335,1.019528812069986,0.9997861915636592,1.0078572717020498,1.0172382909583015,1.0180943566353717,36.4352407402041,39.922474452163705,43.17642852963999,-0.004127358490566002,0.0017381702007050427,0,1
2024-11-27 14:00:00,118.25,118.73,117.98,118.1301,1067668.0,118.2963,2024-11-27 14:00:00,2024,11,27,2,0,0,0.75,118.272525,150.57126632595117,118.23,118.36,-0.0008449632073078694,-0.0010983440351469698,118.22715714285714,0.10529596151045024,119.07263523333333,0.9920699193101145,1.0005591897649893,1.0079787897693588,1.017509382790669,1.0188446702830183,35.186196174549735,39.394762379444835,42.84877749593276,-0.0010139534883720769,0.0013993237970883604,0,1
